CEDICT with Classical Mandarin pronunciation (中州音)		
v20200702		
Trascription curated by Hien-haw Liow		
License: cc-by-sa 3.0		
character	pronunciation	gloss
一步到位	ʔiʔᵗ bu˨˦ taw˨˦ ui˨˦	/to settle a matter in one go/
一步登天	ʔiʔᵗ bu˨˦ təŋ tʰiɛn	/reaching heaven in a single bound (idiom); (esp. with negative: don't expect) instant success/
一氣	ʔiʔᵗ kʰi˨˦	/at one go/at a stretch/for a period of time/forming a gang/
一氣之下	ʔiʔᵗ kʰi˨˦ tʃɨ ɦia'˨˦	/in a fit of pique/in a fury/
一水兒	ʔiʔᵗ ʂui˥˧ ɻ˩	/(coll.) of the same type/identical/
一派胡言	ʔiʔᵗ pʰai˨˦ ɦu˩ jiɛn˩	/a bunch of nonsense/
一派謊言	ʔiʔᵗ pʰai˨˦ hwɑŋ˥˧ jiɛn˩	/a pack of lies/
一流	ʔiʔᵗ liw˩	/top quality/front ranking/
一清二楚	ʔiʔᵗ tsʰiŋ ɻ˨˦ ʈʂʰu˨˦	/to be very clear about sth (idiom)/
一清二白	ʔiʔᵗ tsʰiŋ ɻ˨˦ bəʔᵏ˩	/perfectly clean/blameless/unimpeachable (idiom)/
一清如水	ʔiʔᵗ tsʰiŋ ʒy˩ ʂui˥˧	/lit. as clear as water (idiom)/fig. (of officials etc) honest and incorruptible/
一清早	ʔiʔᵗ tsʰiŋ tsaw˥˧	/early in the morning/
一溜煙	ʔiʔᵗ liw˨˦ ʔiɛn	/like a wisp of smoke/(to disappear etc) in an instant/
一無所有	ʔiʔᵗ vu˩ ʂu˥˧ jiw˥˧	/not having anything at all (idiom); utterly lacking/without two sticks to rub together/
一無所知	ʔiʔᵗ vu˩ ʂu˥˧ tʃi	/not knowing anything at all (idiom); completely ignorant/without an inkling/
一無所聞	ʔiʔᵗ vu˩ ʂu˥˧ vun˩	/unheard of/
一無所長	ʔiʔᵗ vu˩ ʂu˥˧ tʃʱiɑŋ˩	/not having any special skill/without any qualifications/
一無是處	ʔiʔᵗ vu˩ ʃʱɨ'˨˦ tʃʰy˨˦	/not one good point/everything about it is wrong/
一物降一物	ʔiʔᵗ vuʔᵗ˩ ɦiɑŋ˩ ʔiʔᵗ vuʔᵗ˩	/lit. one object bests another object/every item has a weakness (idiom)/there is a rock to every scissor, a scissor to every paper, and a paper to every rock/
一犯再犯	ʔiʔᵗ fʱam'˨˦ tsai˨˦ fʱam'˨˦	/to keep doing (the wrong thing)/
一琴一鶴	ʔiʔᵗ kʱim˩ ʔiʔᵗ ɦɒʔᵏ˩	/carrying very little luggage (idiom)/honest and incorruptible (government officials)/
一生	ʔiʔᵗ ʂəŋ	/all one's life/throughout one's life/
一生一世	ʔiʔᵗ ʂəŋ ʔiʔᵗ ʃji˨˦	/a whole lifetime (idiom); all my life/
一甲	ʔiʔᵗ kiaʔᵖ	/1st rank or top three candidates who passed the imperial examination (i.e. 狀元|状元, 榜眼, and 探花, respectively)/
一甲子	ʔiʔᵗ kiaʔᵖ tsɨ˥˧	/sixty years/
一病不起	ʔiʔᵗ biŋ˨˦ puʔᵗ kʰi˥˧	/to fall gravely ill, never to recover (idiom)/
一發不可收拾	ʔiʔᵗ faʔᵗ puʔᵗ kʰɔ˥˧ ʃiw ʃʱiʔᵖ˩	/things that have happened can hardly be controlled/to get out of hand/
一發而不可收	ʔiʔᵗ faʔᵗ ɻ˩ puʔᵗ kʰɔ˥˧ ʃiw	/to be impossible to stop once started/
一百一	ʔiʔᵗ pəʔᵏ ʔiʔᵗ	/faultless/impeccable/
一目了然	ʔiʔᵗ muʔᵏ˩ liɛw˥˧ ʒiɛn˩	/obvious at a glance (idiom)/
一目十行	ʔiʔᵗ muʔᵏ˩ ʃʱiʔᵖ˩ ɦɑŋ˩	/ten lines at a glance (idiom)/to read very rapidly/
一直	ʔiʔᵗ dʒiʔᵏ˩	/straight (in a straight line)/continuously/always/from the beginning of ... up to .../all along/
一直以來	ʔiʔᵗ dʒiʔᵏ˩ ji˥˧ lai˩	/in the past always/for a long time now/until now/
一直往前	ʔiʔᵗ dʒiʔᵏ˩ wɑŋ˥˧ tsʱiɛn˩	/straight ahead/
一眼	ʔiʔᵗ (ŋ)jian˥˧	/a glance/a quick look/a glimpse/
一睹	ʔiʔᵗ tu˥˧	/to look/to have a glimpse at/to observe (sth's splendor)/
一瞥	ʔiʔᵗ pʰiɛʔᵗ	/glance/glimpse/
一瞬	ʔiʔᵗ ʃyun˨˦	/one instant/very short time/the twinkle of an eye/
一矢中的	ʔiʔᵗ ʃɨ˥˧ tʃyuŋ˨˦ tiʔᵏ	/to hit the target with a single shot/to say something spot on (idiom)/
一石二鳥	ʔiʔᵗ ʃʱiʔᵏ˩ ɻ˨˦ niɛw˥˧	/to kill two birds with one stone (idiom)/
一神論	ʔiʔᵗ ʃʱin˩ lun˨˦	/monotheism/unitarianism (denying the Trinity)/
一窩蜂	ʔiʔᵗ ʔwɔ fuŋ	/like a swarm of bees/everyone swarms around pushing and shouting/a hornet's nest/
一窮二白	ʔiʔᵗ kʱyuŋ˩ ɻ˨˦ bəʔᵏ˩	/impoverished/backward both economically and culturally/
一竅不通	ʔiʔᵗ kʰiɛw˨˦ puʔᵗ tʰuŋ	/lit. doesn't (even) enter a single aperture (of one's head)/I don't understand a word (idiom)/it's all Greek to me/
一笑了之	ʔiʔᵗ siɛw˨˦ liɛw˥˧ tʃɨ	/to laugh away (instead of taking seriously)/
一笑置之	ʔiʔᵗ siɛw˨˦ tʃi˨˦ tʃɨ	/to dismiss with a laugh/to make light of/
一筆勾銷	ʔiʔᵗ piʔᵗ kəw siɛw	/to write off at one stroke/
一筆抹殺	ʔiʔᵗ piʔᵗ mwɔʔᵗ˩ ʂaʔᵗ	/to blot out at one stroke/to reject out of hand/to deny without a hearing/
一等	ʔiʔᵗ təŋ˥˧	/first class/grade A/
一等獎	ʔiʔᵗ təŋ˥˧ tsiɑŋ˥˧	/first prize/
一箭雙鵰	ʔiʔᵗ tsiɛn˨˦ ʂwɑŋ tiɛw	/lit. one arrow, two golden eagles (idiom)/to kill two birds with one stone/
一節詩	ʔiʔᵗ tsiɛʔᵗ ʃɨ	/stanza/
一籮筐	ʔiʔᵗ lɔ˩ kʰwɑŋ	/bucketloads of/in large quantities/extremely/
一紙空文	ʔiʔᵗ tʃɨ˥˧ kʰuŋ vun˩	/a worthless piece of paper (idiom)/
一級	ʔiʔᵗ kiʔᵖ	/first class/category A/
一級士官	ʔiʔᵗ kiʔᵖ ʂʱɨ'˨˦ kwɔn	/corporal (army)/
一級方程式	ʔiʔᵗ kiʔᵖ fɑŋ tʃʱiŋ˩ ʃiʔᵏ	/Formula One/
一級頭	ʔiʔᵗ kiʔᵖ tʱəw˩	/first stage (diving)/
一絲一毫	ʔiʔᵗ sɨ ʔiʔᵗ ɦaw˩	/one thread, one hair (idiom); a tiny bit/an iota/
一絲不掛	ʔiʔᵗ sɨ puʔᵗ kwa˨˦	/not wearing one thread (idiom); absolutely naked/without a stitch of clothing/in one's birthday suit/
一線	ʔiʔᵗ siɛn˨˦	/front line/
一線之隔	ʔiʔᵗ siɛn˨˦ tʃɨ kəʔᵏ	/a fine line/a fine distinction/
一線微光	ʔiʔᵗ siɛn˨˦ vi˩ kwɑŋ	/gleam/
一聲	ʔiʔᵗ ʃiŋ	/first tone in Mandarin (high, level tone)/
一聲不響	ʔiʔᵗ ʃiŋ puʔᵗ hiɑŋ˥˧	/to keep totally silent/noiselessly/
一股子	ʔiʔᵗ ku˥˧ tsɨ˥˧	/a whiff of/a taint of/a thread of/
一股腦	ʔiʔᵗ ku˥˧ naw˥˧	/all of it/lock, stock and barrel/
一股腦兒	ʔiʔᵗ ku˥˧ naw˥˧ ɻ˩	/erhua variant of 一股腦|一股脑/
一胎制	ʔiʔᵗ tʰai tʃji˨˦	/the one-child policy/
一胎化	ʔiʔᵗ tʰai hwa˨˦	/practice of allowing only one child per family/
一脈相承	ʔiʔᵗ məʔᵏ˩ siɑŋ tʃʱiŋ˩	/traceable to the same stock (idiom); of a common origin (of trends, ideas etc)/
一腔	ʔiʔᵗ kʰiɑŋ	/full of (zeal, anger etc)/
一號	ʔiʔᵗ ɦaw˨˦	/first day of the month/toilet/(slang) top (in a homosexual relationship)/
一號電池	ʔiʔᵗ ɦaw˨˦ diɛn˨˦ tʃʱi˩	/D size battery/
一行	ʔiʔᵗ ɦ(i)əŋ˩	/party/delegation/
一見傾心	ʔiʔᵗ kiɛn˨˦ kʰyuəŋ sim	/love at first sight/
一見如故	ʔiʔᵗ kiɛn˨˦ ʒy˩ ku˨˦	/familiarity at first sight/
一見鐘情	ʔiʔᵗ kiɛn˨˦ tʃyuŋ tsʱiŋ˩	/love at first sight (idiom)/
一覺醒來	ʔiʔᵗ kiaw˨˦ siŋ˥˧ lai˩	/to wake up from a sleep/
一角銀幣	ʔiʔᵗ kiɒʔᵏ (ŋ)jin˩ bi˨˦	/dime/
一言	ʔiʔᵗ jiɛn˩	/one sentence/brief remark/
一言一行	ʔiʔᵗ jiɛn˩ ʔiʔᵗ ɦ(i)əŋ˩	/every word and action (idiom)/
一言千金	ʔiʔᵗ jiɛn˩ tsʰiɛn kim	/one word worth a thousand in gold (idiom); valuable advice/words of enormous weight/
一語中的	ʔiʔᵗ ŋy˥˧ tʃyuŋ˨˦ tiʔᵏ	/to hit the mark with a comment (idiom)/to say sth spot on/
一語破的	ʔiʔᵗ ŋy˥˧ pʰwɔ˨˦ tiʔᵏ	/see 一語中的|一语中的/
一諾千金	ʔiʔᵗ nɒʔᵏ˩ tsʰiɛn kim	/a promise worth one thousand in gold (idiom); a promise that must be kept/
一走了之	ʔiʔᵗ tsəw˥˧ liɛw˥˧ tʃɨ	/to avoid a problem by walking away from it/to quit/
一起	ʔiʔᵗ kʰi˥˧	/in the same place/together/with/altogether (in total)/
一路	ʔiʔᵗ lu˨˦	/the whole journey/all the way/going the same way/going in the same direction/of the same kind/
一路來	ʔiʔᵗ lu˨˦ lai˩	/all the way/all along/since the start/
一路風塵	ʔiʔᵗ lu˨˦ fuŋ tʃʱin˩	/to live an exhausting journey/
一蹴而就	ʔiʔᵗ tsyuʔᵏ ɻ˩ dziw˨˦	/to get there in one step (idiom); easily done/success at a stroke/to get results overnight/
一蹴而得	ʔiʔᵗ tsyuʔᵏ ɻ˩ təʔᵏ	/to get there in one step (idiom); easily done/success at a stroke/to get results overnight/
一身	ʔiʔᵗ ʃin	/whole body/from head to toe/single person/a suit of clothes/
一身兩役	ʔiʔᵗ ʃin liɑŋ˥˧ jyuəʔᵏ˩	/one person taking on two tasks simultaneously/
一身是膽	ʔiʔᵗ ʃin ʃʱɨ'˨˦ tam˥˧	/devoid of fear (idiom)/intrepid/
一輩子	ʔiʔᵗ pui˨˦ tsɨ˥˧	/(for) a lifetime/
一輪	ʔiʔᵗ lyun˩	/first round or stage (of a match, election, talks, planned policy etc)/
一退六二五	ʔiʔᵗ tʰui˨˦ luʔᵏ˩ ɻ˨˦ (ŋ)u˥˧	/lit. 1 divided by 16 is 0.0625 (abacus rule)/fig. to deny responsibility/to pass the buck/also written 一推六二五/
一通百通	ʔiʔᵗ tʰuŋ pəʔᵏ tʰuŋ	/grasp this fundamental point and all the rest will follow (idiom)/
一邊	ʔiʔᵗ piɛn	/one side/either side/on the one hand/on the other hand/doing while/
一醉方休	ʔiʔᵗ tsui˨˦ fɑŋ hiw	/to get thoroughly drunk (idiom)/to get plastered/
一陣	ʔiʔᵗ dʒin˨˦	/a burst/a fit/a peal/a spell (period of time)/
一陣子	ʔiʔᵗ dʒin˨˦ tsɨ˥˧	/a while/a spell/a short time/a burst/
一面	ʔiʔᵗ miɛn˨˦	/one side/one aspect/simultaneously... (and...)/one's whole face/
一面之交	ʔiʔᵗ miɛn˨˦ tʃɨ kiaw	/to have met once/casual acquaintance/
一面之詞	ʔiʔᵗ miɛn˨˦ tʃɨ sʱɨ˩	/one side of the story/one-sided statement/
一項一項地	ʔiʔᵗ ɦiɑŋ'˨˦ ʔiʔᵗ ɦiɑŋ'˨˦ di˨˦	/one by one/
一頭	ʔiʔᵗ tʱəw˩	/one head/a head full of sth/one end (of a stick)/one side/headlong/directly/rapidly/simultaneously/
一頭霧水	ʔiʔᵗ tʱəw˩ vu˨˦ ʂui˥˧	/to be confused/to be baffled/
一類	ʔiʔᵗ lui˨˦	/same type/category 1 (i.e. class A)/
一類保護動物	ʔiʔᵗ lui˨˦ paw˥˧ ɦu˨˦ duŋ'˨˦ vuʔᵗ˩	/class A protected animal/
一顰一笑	ʔiʔᵗ pʱin˩ ʔiʔᵗ siɛw˨˦	/every frown and every smile/
一驚一乍	ʔiʔᵗ kiŋ ʔiʔᵗ ɖʐa˨˦	/frightened/flustered/
一骨碌	ʔiʔᵗ kuʔᵗ luʔᵏ˩	/with a rolling or twisting movement/in a single movement/in one breath/
一體	ʔiʔᵗ tʰi˥˧	/an integral whole/all concerned/everybody/
一體兩面	ʔiʔᵗ tʰi˥˧ liɑŋ˥˧ miɛn˨˦	/lit. one body two sides (idiom)/fig. a situation with two sides to it/
一體化	ʔiʔᵗ tʰi˥˧ hwa˨˦	/integration/incorporation/unification/
一鱗半爪	ʔiʔᵗ lin˩ pwɔn˨˦ ʈʂaw˥˧	/lit. one scale and half a claw (idiom); only odd bits and pieces/
一黑早	ʔiʔᵗ həʔᵏ tsaw˥˧	/at dawn/early in the morning/
一點	ʔiʔᵗ tiɛm˥˧	/a bit/a little/one dot/one point/
一點一滴	ʔiʔᵗ tiɛm˥˧ ʔiʔᵗ tiʔᵏ	/bit by bit/every little bit/
一點一點	ʔiʔᵗ tiɛm˥˧ ʔiʔᵗ tiɛm˥˧	/little by little/bit by bit/gradually/
一點兒	ʔiʔᵗ tiɛm˥˧ ɻ˩	/erhua variant of 一點|一点/
一點就通	ʔiʔᵗ tiɛm˥˧ dziw˨˦ tʰuŋ	/a hint is all that is needed/understanding each other without the need to explain/
一點水一個泡	ʔiʔᵗ tiɛm˥˧ ʂui˥˧ ʔiʔᵗ kɔ˨˦ pʰaw	/honest and trustworthy (idiom)/
一點點	ʔiʔᵗ tiɛm˥˧ tiɛm˥˧	/a little bit/
七	tsʰiʔᵗ	/seven/7/
七七事變	tsʰiʔᵗ tsʰiʔᵗ ʂʱɨ˨˦ piɛn˨˦	/Marco Polo Bridge Incident of 7th July 1937, regarded as the beginning of the Second Sino-Japanese War 抗日戰爭|抗日战争/
七七八八	tsʰiʔᵗ tsʰiʔᵗ paʔᵗ paʔᵗ	/almost/nearing completion/bits and piece/of all kinds/
七事	tsʰiʔᵗ ʂʱɨ˨˦	/the Seven Duties of a sovereign, namely: offering sacrifice 祭祀, giving audience 朝覲|朝觐, administering jointly 會同|会同, receiving guests 賓客|宾客, running army 軍旅|军旅, attending to farm work 田役, mourning ceremonial 喪荒|丧荒/
七十	tsʰiʔᵗ ʃʱiʔᵖ˩	/seventy/70/
七十七國集團	tsʰiʔᵗ ʃʱiʔᵖ˩ tsʰiʔᵗ kwəʔᵏ dziʔᵖ˩ tʱwɔn˩	/Group of 77, loose alliance of developing countries, founded in 1964/
七十年代	tsʰiʔᵗ ʃʱiʔᵖ˩ niɛn˩ dai˨˦	/the seventies/the 1970s/
七喜	tsʰiʔᵗ hi˥˧	/7 Up (soft drink)/Hedy Holding Co., PRC computer manufacturer/
七國集團	tsʰiʔᵗ kwəʔᵏ dziʔᵖ˩ tʱwɔn˩	/G7, the group of 7 industrialized countries: US, Japan, Britain, Germany, France, Italy and Canada (now G8, including Russia)/
七堵	tsʰiʔᵗ tu˥˧	/Chitu district of Keelung City 基隆市, Taiwan/
七夕	tsʰiʔᵗ sʱiʔᵏ˩	/double seven festival, evening of seventh of lunar seventh month/girls' festival/Chinese Valentine's day, when Cowherd and Weaving maid 牛郎織女|牛郎织女 are allowed their annual meeting/
七夕節	tsʰiʔᵗ sʱiʔᵏ˩ tsiɛʔᵗ	/Qixi Festival or Double Seven Festival on the 7th day of the 7th lunar month/girls' festival/Chinese Valentine's day, when Cowherd and Weaving maid 牛郎織女|牛郎织女[niu2 lang3 zhi1 nu:3] are allowed their annual meeting/
七大工業國集團	tsʰiʔᵗ da(i)˨˦ kuŋ ŋiɛʔᵖ˩ kwəʔᵏ dziʔᵖ˩ tʱwɔn˩	/G7, the group of 7 industrialized countries: US, Japan, Britain, Germany, France, Italy and Canada (now G8, including Russia)/
七孔	tsʰiʔᵗ kʰuŋ˥˧	/the seven apertures of the human head: 2 eyes, 2 ears, 2 nostrils, 1 mouth/
七層架構	tsʰiʔᵗ tsʱəŋ˩ kia˨˦ kəw˨˦	/seven layer architecture (OSI)/
七帶石斑魚	tsʰiʔᵗ tai˨˦ ʃʱiʔᵏ˩ pan ŋy˩	/Epinephelus septemfasciatus/
七年之癢	tsʰiʔᵗ niɛn˩ tʃɨ jiɑŋ˥˧	/seven-year itch/
七弦琴	tsʰiʔᵗ ɦiɛn˩ kʱim˩	/guqin or seven-stringed zither/
七彩	tsʰiʔᵗ tsʰai˥˧	/seven colors/a variety of colors/multi-colored/rainbow-colored/
七律	tsʰiʔᵗ lyʔᵗ˩	/abbr. for 七言律詩|七言律诗, verse form consisting of 8 lines of 7 syllables, with rhyme on alternate lines/
七情	tsʰiʔᵗ tsʱiŋ˩	/seven emotional states/seven affects of traditional Chinese medical theory and therapy, namely: joy 喜, anger 怒, anxiety 憂|忧, thought 思, grief 悲, fear 恐, fright 驚|惊/seven relations/
七拼八湊	tsʰiʔᵗ pəŋ paʔᵗ tsʰəw˨˦	/assembled at random/a motley collection/
七日熱	tsʰiʔᵗ ʒiʔᵗ˩ ʒiɛʔᵗ˩	/leptospirosis/
七曜	tsʰiʔᵗ jiɛw˨˦	/the seven planets of premodern astronomy (the Sun, the Moon, Mercury, Venus, Mars, Jupiter, and Saturn)/
七月	tsʰiʔᵗ (ŋ)jyuɛʔᵗ˩	/July/seventh month (of the lunar year)/
七月份	tsʰiʔᵗ (ŋ)jyuɛʔᵗ˩ pin	/July/
七河州	tsʰiʔᵗ ɦɔ˩ tʃiw	/Semirechye region of Kazakhstan, bordering Lake Balkash 巴爾喀什湖|巴尔喀什湖/
七竅	tsʰiʔᵗ kʰiɛw˨˦	/the seven apertures of the human head: 2 eyes, 2 ears, 2 nostrils, 1 mouth/
七竅生煙	tsʰiʔᵗ kʰiɛw˨˦ ʂəŋ ʔiɛn	/lit. spouting smoke through the seven orifices (idiom)/fig. to seethe with anger/
七美	tsʰiʔᵗ mui˥˧	/Qimei or Chimei township in Penghu county 澎湖縣|澎湖县 (Pescadores Islands), Taiwan/
七老八十	tsʰiʔᵗ law˥˧ paʔᵗ ʃʱiʔᵖ˩	/in one's seventies (age)/very old (of people)/
七聲	tsʰiʔᵗ ʃiŋ	/tones of the musical scale/
七股	tsʰiʔᵗ ku˥˧	/Chiku township in Tainan county 台南縣|台南县, Taiwan/
七角形	tsʰiʔᵗ kiɒʔᵏ ɦiŋ˩	/heptagon/
七言律詩	tsʰiʔᵗ jiɛn˩ lyʔᵗ˩ ʃɨ	/verse form consisting of 8 lines of 7 syllables, with rhyme on alternate lines/abbr. to 七律/
七邊形	tsʰiʔᵗ piɛn ɦiŋ˩	/heptagon/
七里河	tsʰiʔᵗ li˥˧ ɦɔ˩	/Qilihe District of Lanzhou City 蘭州市|兰州市, Gansu/
七里香	tsʰiʔᵗ li˥˧ hiɑŋ	/orange jasmine (Murraya paniculata)/"chicken butt", popular Taiwan snack on a stick, made of marinated "white cut chicken" butt/
七零八碎	tsʰiʔᵗ liŋ˩ paʔᵗ sui˨˦	/bits and pieces/scattered fragments/
七零八落	tsʰiʔᵗ liŋ˩ paʔᵗ lɒʔᵏ˩	/(idiom) everything broken and in disorder/
七龍珠	tsʰiʔᵗ lyuŋ˩ tʃy	/Dragon Ball, Japanese manga and anime series/
下一代	ɦia'˨˦ ʔiʔᵗ dai˨˦	/the next generation/
下一個	ɦia'˨˦ ʔiʔᵗ kɔ˨˦	/the next one/
下一次	ɦia'˨˦ ʔiʔᵗ tsʰɨ˨˦	/next/
下一步	ɦia'˨˦ ʔiʔᵗ bu˨˦	/the next step/
下丘腦	ɦia'˨˦ kʰiw naw˥˧	/hypothalamus (anatomy)/
下個月	ɦia'˨˦ kɔ˨˦ (ŋ)jyuɛʔᵗ˩	/next month/
下劃線	ɦia'˨˦ ɦwəʔᵏ˩ siɛn˨˦	/underscore _/underline/
下半天	ɦia'˨˦ pwɔn˨˦ tʰiɛn	/afternoon/
下半年	ɦia'˨˦ pwɔn˨˦ niɛn˩	/second half of the year/
下半身	ɦia'˨˦ pwɔn˨˦ ʃin	/lower half of one's body/Lower Body (Chinese poetry movement of the early 21st century)/
下同	ɦia'˨˦ tʱuŋ˩	/similarly hereinafter/
下唇	ɦia˨˦ ʃʱyun˩	/lower lip/
下回	ɦia'˨˦ ɦui˩	/next chapter/next time/
下家	ɦia'˨˦ kia	/player whose turn comes next (in a game)/next one/my humble home/
下層	ɦia'˨˦ tsʱəŋ˩	/underlayer/lower class/lower strata/substrate/
下巴	ɦia'˨˦ pa	/chin/CL:個|个/
下巴頦	ɦia'˨˦ pa kai	/chin/
下弦月	ɦia'˨˦ ɦiɛn˩ (ŋ)jyuɛʔᵗ˩	/third quarter or waning moon/
下意識	ɦia'˨˦ ʔi˨˦ ʃiʔᵏ	/subconscious mind/
下月	ɦia'˨˦ (ŋ)jyuɛʔᵗ˩	/next month/
下次	ɦia˨˦ piɛw	/next time/
丌	kʱi˩	/surname Ji/
丌	kʱi˩	/"pedestal" component in Chinese characters/
丌	kʱi˩	/archaic variant of 其/
不一	puʔᵗ ʔiʔᵗ	/to vary/to differ/
不一定	puʔᵗ ʔiʔᵗ diŋ˨˦	/not necessarily/maybe/
不久	puʔᵗ kiw˥˧	/not long (after)/before too long/soon/soon after/
不久前	puʔᵗ kiw˥˧ tsʱiɛn˩	/not long ago/
不乏	puʔᵗ fʱaʔᵖ˩	/there is no lack of/
不了	puʔᵗ liɛw˥˧	/unable to/without end/
不了了之	puʔᵗ liɛw˥˧ liɛw˥˧ tʃɨ	/to settle a matter by leaving it unsettled/to end up with nothing definite/
不二價	puʔᵗ ɻ˨˦ kia˨˦	/one price for all/fixed price/
不二法門	puʔᵗ ɻ˨˦ faʔᵖ mun˩	/the one and only way/the only proper course to take/
不仁	puʔᵗ ʒin˩	/not benevolent/heartless/numb/
不休	puʔᵗ hiw	/endlessly/ceaselessly/
不住	puʔᵗ dʒy˨˦	/repeatedly/continuously/constantly/unable to (resist, conceal etc)/
不俗	puʔᵗ sʱyuʔᵏ˩	/impressive/out of the ordinary/
不倦	puʔᵗ gyuɛn˨˦	/tireless/untiring/indefatigable/
不倫	puʔᵗ lyun˩	/(of a relationship) improper (adulterous, incestuous, teacher-student etc)/unseemly/
不倫不類	puʔᵗ lyun˩ puʔᵗ lui˨˦	/out of place/inappropriate/incongruous/
不做聲	puʔᵗ tsɔ˨˦ ʃiŋ	/keep silent/not say a word/
不停	puʔᵗ tʱiŋ˩	/incessant/
不像話	puʔᵗ sʱiɑŋ'˨˦ ɦwa˨˦	/unreasonable/shocking/outrageous/
不光	puʔᵗ kwɑŋ	/not the only one/not only/
不光彩	puʔᵗ kwɑŋ tsʰai˥˧	/disgraceful/dishonorable/
不克	puʔᵗ kʰəʔᵏ	/cannot/to not be able (to)/to be unable to/
不入時宜	puʔᵗ ʒiʔᵖ˩ ʃʱɨ˩ ji˩	/untimely/premature/inopportune/ill-timed/out of fashion/behind the times/
不公	puʔᵗ kuŋ	/unjust/unfair/
不再	puʔᵗ tsai˨˦	/no more/no longer/
不准	puʔᵗ tʃyun˥˧	/not to allow/to forbid/to prohibit/
不凡	puʔᵗ fʱam˩	/out of the ordinary/out of the common run/
不切實際	puʔᵗ tsʰiɛʔᵗ ʃʱiʔᵗ˩ tsi˨˦	/unrealistic/impractical/
不利	puʔᵗ li˨˦	/unfavorable/disadvantageous/harmful/detrimental/
不到	puʔᵗ taw˨˦	/not to arrive/not reaching/insufficient/less than/
不力	puʔᵗ liʔᵏ˩	/not to do one's best/not to exert oneself/
不加	puʔᵗ kia	/without/not/un-/
不加掩飾	puʔᵗ kia ʔiɛm˥˧ ʃiʔᵏ	/undisguised/
不加牛奶	puʔᵗ kia jiw˩ nai˥˧	/without milk/black (of tea, coffee etc)/
不動搖	puʔᵗ duŋ'˨˦ jiɛw˩	/unmoved/
不動產	puʔᵗ duŋ'˨˦ ʈʂʰan˥˧	/real estate/immovable property/immovables/
不勝	puʔᵗ ʃiŋ	/cannot bear or stand/be unequal to/very/extremely/
不及	puʔᵗ giʔᵖ˩	/to fall short of/not as good as/too late/
不及物動詞	puʔᵗ giʔᵖ˩ vuʔᵗ˩ duŋ'˨˦ sʱɨ˩	/intransitive verb/
不可	puʔᵗ kʰɔ˥˧	/cannot/should not/must not/
不可一世	puʔᵗ kʰɔ˥˧ ʔiʔᵗ ʃji˨˦	/to consider oneself unexcelled in the world/to be insufferably arrogant/
不可以	puʔᵗ kʰɔ˥˧ ji˥˧	/may not/
不可再生資源	puʔᵗ kʰɔ˥˧ tsai˨˦ ʂəŋ tsɨ (ŋ)jyuɛn˩	/nonrenewable resource/
不可勝言	puʔᵗ kʰɔ˥˧ ʃiŋ jiɛn˩	/inexpressible (idiom)/beyond description/
不可多得	puʔᵗ kʰɔ˥˧ tɔ təʔᵏ	/hard to come by/rare/
不可或缺	puʔᵗ kʰɔ˥˧ ɦwəʔᵏ˩ kʰyuɛʔᵗ	/necessary/must have/
不可抗力	puʔᵗ kʰɔ˥˧ kʰɑŋ˨˦ liʔᵏ˩	/unpredictable eventuality/unpreventable/unavoidable/impossible to overcome/nothing can be done about it/act of God/force majeure/
不可救藥	puʔᵗ kʰɔ˥˧ kiw˨˦ jiɒʔᵏ˩	/incurable/incorrigible/beyond cure/hopeless/
丏	miɛn˥˧	/hidden from view/barrier to ward off arrows/
丑	tʃʰiw˥˧	/surname Chou/
丑	tʃʰiw˥˧	/clown/2nd earthly branch: 1-3 a.m., 12th solar month (6th January to 3rd February), year of the Ox/ancient Chinese compass point: 30°/
丑時	tʃʰiw˥˧ ʃʱɨ˩	/1-3 am (in the system of two-hour subdivisions used in former times)/
丑牛	tʃʰiw˥˧ jiw˩	/Year 2, year of the Bull or Ox (e.g. 2009)/
丑角	tʃʰiw˥˧ kiɒʔᵏ	/clown role in opera/clown/buffoon/
丑鴨	tʃʰiw˥˧ ʔiaʔᵖ	/(bird species of China) harlequin duck (Histrionicus histrionicus)/
丕	pʰui	/grand/
丕變	pʰui piɛn˨˦	/radical change/
世	ʃji˨˦	/surname Shi/
世	ʃji˨˦	/life/age/generation/era/world/lifetime/epoch/descendant/noble/
世世	ʃji˨˦ ʃji˨˦	/from age to age/
世世代代	ʃji˨˦ ʃji˨˦ dai˨˦ dai˨˦	/for many generations/
世事	ʃji˨˦ ʂʱɨ˨˦	/affairs of life/things of the world/
世交	ʃji˨˦ kiaw	/(long time) friend of the family/
世人	ʃji˨˦ ʒin˩	/people (in general)/people around the world/everyone/
世代	ʃji˨˦ dai˨˦	/for many generations/generation/era/age/
世俗	ʃji˨˦ sʱyuʔᵏ˩	/profane/secular/worldly/
世博	ʃji˨˦ pɒʔᵏ	/abbr. for 世界博覽會|世界博览会, World Expo/
世外桃源	ʃji˨˦ (ŋ)wai˨˦ tʱaw˩ (ŋ)jyuɛn˩	/see 桃花源/
世外桃花源	ʃji˨˦ (ŋ)wai˨˦ tʱaw˩ hwa (ŋ)jyuɛn˩	/see 桃花源/
世子	ʃji˨˦ tsɨ˥˧	/crown prince/heir of a noble house/
